date,season,tempmax,tempmin,humidity,precip,crop,Pest_Attack
14-04-2013,Summer,37.7,23.1,39.7,2,papaya,0
15-04-2013,Summer,37.5,21.1,41.7,0,rice,0
16-04-2013,Summer,40.1,21.9,30.7,0,coffee,0
17-04-2013,Summer,36.4,21,27.4,0,kidneybeans,0
18-04-2013,Summer,37.5,21.7,23.7,0,coconut,0
19-04-2013,Summer,37.3,21.4,27.2,0,mango,0
20-04-2013,Summer,37.7,22.2,27.8,0,rice,0
21-04-2013,Summer,37,23.9,39.5,0,orange,0
22-04-2013,Summer,31.7,21.1,49.5,0,cotton,0
23-04-2013,Summer,34,23.3,42.8,0,pigeonpeas,0
24-04-2013,Summer,36,23.8,38.8,0,jute,0
25-04-2013,Summer,37.7,24.8,39.1,0,rice,0
26-04-2013,Summer,34.3,25.4,41.5,0,banana,0
27-04-2013,Summer,37.7,24.2,32.7,0,coconut,0
28-04-2013,Summer,37,23.4,29.6,0,mango,0
29-04-2013,Summer,39.1,26.5,24.3,0,pomegranate,0
30-04-2013,Summer,40.1,24.9,31.3,0,lentil,0
13-05-2013,Summer,37.1,24.1,45.3,0,coconut,0
14-05-2013,Summer,42.1,25.6,31.8,0,mothbeans,0
15-05-2013,Summer,41.1,25.9,29.6,0,coconut,0
16-05-2013,Summer,40.6,27.2,27,0.1,muskmelon,0
17-05-2013,Summer,42.1,25.4,25,0,rice,0
18-05-2013,Summer,44.1,26.2,22.2,0,coconut,0
19-05-2013,Summer,45,27.2,19.2,0,chickpea,0
20-05-2013,Summer,44,30.9,17.7,0,apple,0
21-05-2013,Summer,46,29.1,18.4,0,coconut,0
22-05-2013,Summer,46.2,30,18.2,0,coffee,0
23-05-2013,Summer,46.1,31,19.1,0,kidneybeans,0
24-05-2013,Summer,47.7,31.2,22.3,0,watermelon,0
25-05-2013,Summer,43.1,31.8,23.7,0,lentil,0
26-05-2013,Summer,43.1,30.9,23.6,0,muskmelon,0
27-05-2013,Summer,42.1,31.1,32,0,coffee,0
28-05-2013,Summer,44,30.5,29.4,0,maize,0
29-05-2013,Summer,42,29.3,22.3,0,blackgram,0
30-05-2013,Summer,40,29.1,22.4,0,pigeonpeas,0
13-06-2013,Monsoon,33.1,27,69.3,0,lentil,0
14-06-2013,Monsoon,39.4,28,64,10.208,orange,0
